DEBUG [2018-10-15 03:19:46] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15256 2360 
 	 [ServerAdmin : userquery]Training complete in 1.077120 real seconds 

DEBUG [2018-10-15 03:20:11] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15256 16196 
 	 [ServerAdmin : userquery]Training complete in 1.083503 real seconds 

DEBUG [2018-10-15 03:20:53] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15256 6812 
 	 [ServerAdmin : userquery]Training complete in 1.107093 real seconds 

DEBUG [2018-10-15 03:22:56] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15256 9316 
 	 [ServerAdmin : userquery]Training complete in 1.079115 real seconds 

DEBUG [2018-10-15 03:23:49] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15256 14372 
 	 [ServerAdmin : userquery]Training complete in 1.249705 real seconds 

DEBUG [2018-10-15 03:26:45] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15256 10588 
 	 [ServerAdmin : userquery]Training complete in 1.056176 real seconds 

DEBUG [2018-10-15 03:26:47] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15256 8296 
 	 [ServerAdmin : userquery]Training complete in 1.091084 real seconds 

DEBUG [2018-10-15 03:27:08] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15256 7332 
 	 [ServerAdmin : userquery]Training complete in 1.057172 real seconds 

DEBUG [2018-10-15 03:27:11] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15256 1708 
 	 [ServerAdmin : userquery]Training complete in 1.109065 real seconds 

DEBUG [2018-10-15 03:29:37] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 16360 4772 
 	 [ServerAdmin : userquery]Training complete in 1.070138 real seconds 

DEBUG [2018-10-15 03:34:12] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15828 516 
 	 [ServerAdmin : userquery]Training complete in 1.132970 real seconds 

DEBUG [2018-10-15 03:34:53] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15828 6568 
 	 [ServerAdmin : userquery]Training complete in 1.070169 real seconds 

DEBUG [2018-10-15 03:36:06] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15828 16360 
 	 [ServerAdmin : userquery]Training complete in 1.049196 real seconds 

DEBUG [2018-10-15 03:36:32] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15828 860 
 	 [ServerAdmin : userquery]Training complete in 1.099060 real seconds 

DEBUG [2018-10-15 03:38:08] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15828 15044 
 	 [ServerAdmin : userquery]Training complete in 1.061192 real seconds 

DEBUG [2018-10-15 03:40:59] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15828 13624 
 	 [ServerAdmin : userquery]Training complete in 1.124029 real seconds 

DEBUG [2018-10-15 03:41:34] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15828 15372 
 	 [ServerAdmin : userquery]Training complete in 1.062160 real seconds 

DEBUG [2018-10-15 03:41:40] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15828 524 
 	 [ServerAdmin : userquery]Training complete in 1.084102 real seconds 

DEBUG [2018-10-15 03:42:10] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15828 5812 
